SID,ISO_TIME,LAT,LON,USA_WIND,USA_PRES,future_pressure_6h,future_wind_6h,future_lat_6h,future_lon_6h,pressure_trend,wind_trend
1951272N20274,1951-10-01 12:00:00,26.1,-86.8,40.0,1003.0,981.0,78.0,31.8,-76.3,0.0,0.0
1951272N20274,1951-10-03 12:00:00,31.4,-76.5,75.0,982.0,979.0,80.0,32.1,-76.1,-21.0,35.0
1951272N20274,1951-10-03 15:00:00,31.8,-76.3,78.0,981.0,975.0,80.0,34.9,-74.0,-1.0,3.0
1951272N20274,1951-10-03 18:00:00,32.1,-76.1,80.0,979.0,972.0,85.0,36.9,-71.6,-2.0,2.0
1951272N20274,1951-10-04 18:00:00,34.9,-74.0,80.0,975.0,963.0,75.0,40.3,-61.2,-4.0,0.0
1961249N14342,1961-09-11 18:00:00,29.2,-46.1,80.0,976.0,980.0,70.0,34.6,-45.0,0.0,0.0
1961249N14342,1961-09-12 12:00:00,32.3,-45.8,80.0,975.0,961.0,75.0,56.0,-8.5,-1.0,0.0
1966233N13340,1966-08-21 18:00:00,14.0,-25.9,30.0,1006.0,992.0,65.0,15.3,-47.7,0.0,0.0
1966233N13340,1966-08-23 18:00:00,15.3,-41.8,70.0,984.0,992.0,65.0,15.4,-48.7,-22.0,40.0
1966233N13340,1966-08-24 12:00:00,15.3,-47.7,65.0,992.0,993.0,65.0,15.5,-49.8,8.0,-5.0
1966233N13340,1966-08-24 15:00:00,15.4,-48.7,65.0,992.0,993.0,65.0,15.7,-50.9,0.0,0.0
1966233N13340,1966-08-24 18:00:00,15.5,-49.8,65.0,993.0,993.0,65.0,16.0,-52.0,1.0,0.0
1966233N13340,1966-08-24 21:00:00,15.7,-50.9,65.0,993.0,994.0,65.0,16.2,-53.1,0.0,0.0
1966233N13340,1966-08-25 00:00:00,16.0,-52.0,65.0,993.0,995.0,65.0,16.4,-54.1,0.0,0.0
1966233N13340,1966-08-25 03:00:00,16.2,-53.1,65.0,994.0,991.0,70.0,16.6,-55.2,1.0,0.0
1966233N13340,1966-08-25 06:00:00,16.4,-54.1,65.0,995.0,986.0,75.0,16.7,-56.2,1.0,0.0
1966233N13340,1966-08-25 09:00:00,16.6,-55.2,70.0,991.0,988.0,73.0,16.8,-57.1,-4.0,5.0
1966233N13340,1966-08-25 12:00:00,16.7,-56.2,75.0,986.0,990.0,70.0,17.0,-58.0,-5.0,5.0
1966233N13340,1966-08-25 15:00:00,16.8,-57.1,73.0,988.0,992.0,65.0,17.2,-58.8,2.0,-2.0
1966233N13340,1966-08-25 18:00:00,17.0,-58.0,70.0,990.0,994.0,60.0,17.4,-59.6,2.0,-3.0
1966233N13340,1966-08-25 21:00:00,17.2,-58.8,65.0,992.0,996.0,58.0,17.6,-60.3,2.0,-5.0
1966233N13340,1966-08-26 00:00:00,17.4,-59.6,60.0,994.0,997.0,55.0,17.9,-61.0,2.0,-5.0
1966233N13340,1966-08-26 03:00:00,17.6,-60.3,58.0,996.0,996.0,55.0,18.1,-61.7,2.0,-2.0
1966233N13340,1966-08-26 06:00:00,17.9,-61.0,55.0,997.0,995.0,55.0,18.4,-62.3,1.0,-3.0
1966233N13340,1966-08-26 09:00:00,18.1,-61.7,55.0,996.0,995.0,58.0,18.7,-63.0,-1.0,0.0
1966233N13340,1966-08-26 12:00:00,18.4,-62.3,55.0,995.0,994.0,60.0,19.0,-63.7,-1.0,0.0
1966233N13340,1966-08-26 15:00:00,18.7,-63.0,58.0,995.0,994.0,60.0,19.3,-64.4,0.0,3.0
1966233N13340,1966-08-26 18:00:00,19.0,-63.7,60.0,994.0,994.0,60.0,19.7,-65.1,-1.0,2.0
1966233N13340,1966-08-26 21:00:00,19.3,-64.4,60.0,994.0,993.0,60.0,20.1,-65.7,0.0,0.0
1966233N13340,1966-08-27 00:00:00,19.7,-65.1,60.0,994.0,993.0,60.0,20.4,-66.3,0.0,0.0
1966233N13340,1966-08-27 03:00:00,20.1,-65.7,60.0,993.0,991.0,63.0,20.7,-66.9,-1.0,0.0
1966233N13340,1966-08-27 06:00:00,20.4,-66.3,60.0,993.0,989.0,65.0,21.0,-67.5,0.0,0.0
